Name,Brand,Price,Image Url,Product Url
Jones Snowboards Solution 161 2021 Splitboard,Jones,249.95,//images.blue-tomato.com/is/image/bluetomato/303923985_front.jpg-Eir4eAcvxqC8OGUjEjTIh1foBQo/Burton+Photon+BOA+Wide+2021+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Jones+Snowboards-Solution+161+2021+Splitboard-629257/
Union Force 2021,Union,199.95,//images.blue-tomato.com/is/image/bluetomato/304002260_front.jpg-rsiszqZrseA_NmKU8DP4nozqq0k/Nitro+Team+TLS+2020+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Union-Force+2021+Snowboardbindung-618606/
Dragon NFX2 Comp (+Bonus Lens) Goggle,Dragon,349.95,//images.blue-tomato.com/is/image/bluetomato/303924730_front.jpg-qAirhTxj79KqE6lzER0HGcg-knw/Anon+Raider+3+Helm.jpg?$b1$,www.blue-tomato.com/de-DE/product/Dragon-NFX2+Comp+Bonus+Lens+Goggle-627732/
Jones Snowboards Mercury Snowboard Bindings 2021,Jones,184.95,//images.blue-tomato.com/is/image/bluetomato/304300364_front.jpg-irYDz9sG7qYI50IY64_yRXCC9OA/Union+Atlas+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Jones+Snowboards-Mercury+Snowboard+Bindung+2021-629275/?colid=surf+series
Vans Sam Taxwood Standard MTE Shoes,Vans,409.95,//images.blue-tomato.com/is/image/bluetomato/304300402_front.jpg-B5tVevRz81GmWV0U0bSuLsC4_gI/Union+Strata+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Vans-Sam+Taxwood+Standard+MTE+Winterschuhe-628301/
Burton Photon Step On 2021,Burton,359.95,//images.blue-tomato.com/is/image/bluetomato/304375302_front.jpg-75BjBGNCdDyb31GTMUjdTn1izYU/Karakoram+Prime+Nomad+Interface+Splitboard+Bindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Photon+Step+On+2021-567091/
Burton Photon BOA Wide 2021,Burton,79.95,//images.blue-tomato.com/is/image/bluetomato/304342561_front.jpg-tqT28LhxT51vtVFmU8U8k6epe0Q/Burton+Ion+Boa+2021+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Burton-Photon+BOA+Wide+2021+Snowboardboots-567178/
Nitro Team TLS 2020,Nitro,299.95,//images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg?$b1$,www.blue-tomato.com/de-DE/product/Nitro-Team+TLS+2020+Snowboardboots-576272/
Anon Raider 3 Helmet,Anon,279.95,//images.blue-tomato.com/is/image/bluetomato/304300460_front.jpg-2_VsES8Ep7wjhr2Cvm2QdIUYVWU/Union+Legacy+2021+Snowboardbindung.jpg?$b1$,www.blue-tomato.com/de-DE/product/Anon-Raider+3+Helm-567238/
Union Atlas 2021,Union,769.95,//images.blue-tomato.com/is/image/bluetomato/304342516_front.jpg-8SGGHKzacWp6WVK-nkMuCWdhu_Y/Burton+Photon+Boa+2021+Snowboardboots.jpg?$b1$,www.blue-tomato.com/de-DE/product/Union-Atlas+2021+Snowboardbindung-618605/
