Name,Brand,Price,Image URL,Product URL
Givenchy Stiefel mit Metallkappe,Givenchy,1195,https://cdn-images.farfetch-contents.com/15/40/04/53/15400453_29573923_300.jpg,https://www.farfetch.com/de/shopping/men/givenchy-stiefel-mit-metallkappe-item-15906769.aspx
Raf Simons 'Antei' Sneakers,Raf Simons,400,https://cdn-images.farfetch-contents.com/15/91/02/87/15910287_29408972_300.jpg,https://www.farfetch.com/de/shopping/men/raf-simons-antei-sneakers-item-15940080.aspx
Jordan jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,1934,https://cdn-images.farfetch-contents.com/15/91/02/87/15910287_29408970_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15804368.aspx
A-COLD-WALL* 'Strand-180' Sneakers mit transparenter Sohle,A-COLD-WALL*,316,https://cdn-images.farfetch-contents.com/15/85/57/79/15855779_29621173_300.jpg,https://www.farfetch.com/de/shopping/men/a-cold-wall-strand-180-sneakers-mit-transparenter-sohle-item-15911710.aspx
Philipp Plein 'Phantom Kick$' High-Top-Sneakers,Philipp Plein,1498,https://cdn-images.farfetch-contents.com/15/85/57/79/15855779_29623143_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-phantom-kick-high-top-sneakers-item-15544063.aspx
Philipp Plein 'Money Beast' High-Top-Sneakers,Philipp Plein,4998,https://cdn-images.farfetch-contents.com/15/68/92/46/15689246_29096799_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15543953.aspx
Balenciaga 'Triple S' Sneakers,Balenciaga,850,https://cdn-images.farfetch-contents.com/15/68/92/46/15689246_29096800_300.jpg,https://www.farfetch.com/de/shopping/men/balenciaga-triple-s-sneakers-item-15735705.aspx
MSGM 'Attack' Sneakers,MSGM,247,https://cdn-images.farfetch-contents.com/15/93/47/63/15934763_29599361_300.jpg,https://www.farfetch.com/de/shopping/men/msgm-attack-sneakers-item-15546989.aspx
Vetements x Reebok Instapump Fury sneakers ,Vetements,582,https://cdn-images.farfetch-contents.com/15/93/47/63/15934763_29596640_300.jpg,https://www.farfetch.com/de/shopping/men/vetements-x-reebok-instapump-fury-sneakers-item-15945391.aspx
Martine Rose 'Volcano' Loafer mit Schriftzug,Martine Rose,475,https://cdn-images.farfetch-contents.com/15/81/76/57/15817657_29624691_300.jpg,https://www.farfetch.com/de/shopping/men/martine-rose-volcano-loafer-mit-schriftzug-item-15572342.aspx
Salvatore Ferragamo 'Condor' Loafer,Salvatore Ferragamo,650,https://cdn-images.farfetch-contents.com/15/81/76/57/15817657_29624694_300.jpg,https://www.farfetch.com/de/shopping/men/salvatore-ferragamo-condor-loafer-item-15489658.aspx
Tod's Klassische Penny-Loafer,Tod's,490,https://cdn-images.farfetch-contents.com/15/94/76/68/15947668_29606760_300.jpg,https://www.farfetch.com/de/shopping/men/tods-klassische-penny-loafer-item-15863408.aspx
Maison Margiela 'Tabi' Loafer,Maison Margiela,850,https://cdn-images.farfetch-contents.com/15/94/76/68/15947668_29602378_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-tabi-loafer-item-15921903.aspx
Veja 'Venturi' Sneakers,Veja,145,https://cdn-images.farfetch-contents.com/14/24/74/74/14247474_20351890_300.jpg,https://www.farfetch.com/de/shopping/men/veja-venturi-sneakers-item-15461475.aspx
Balmain 'B-Runner' Sneakers,Balmain,550,https://cdn-images.farfetch-contents.com/14/24/74/74/14247474_20351891_300.jpg,https://www.farfetch.com/de/shopping/men/balmain-b-runner-sneakers-item-15492072.aspx
Off-White 'OOO Out of Office' Sneakers,Off-White,390,https://cdn-images.farfetch-contents.com/15/68/92/05/15689205_29096786_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280756.aspx
Philipp Plein 'Phantom Kick$' Jeans-Sneakers,Philipp Plein,875,https://cdn-images.farfetch-contents.com/15/68/92/05/15689205_29098136_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-phantom-kick-jeans-sneakers-item-15522316.aspx
adidas YEEZY 'BOOST 380' Sneakers,adidas YEEZY,344,https://cdn-images.farfetch-contents.com/15/96/73/54/15967354_29666542_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-boost-380-sneakers-item-15646643.aspx
Philipp Plein 'Phantom Kick$' Sneakers,Philipp Plein,498,https://cdn-images.farfetch-contents.com/15/96/73/54/15967354_29666543_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-phantom-kick-sneakers-item-15541449.aspx
Giuseppe Zanotti Talon sneakers,Giuseppe Zanotti,580,https://cdn-images.farfetch-contents.com/15/68/93/85/15689385_29074461_300.jpg,https://www.farfetch.com/de/shopping/men/giuseppe-zanotti-talon-sneakers-item-15557007.aspx
Balenciaga 'Track.2 Open' Sneakers,Balenciaga,750,https://cdn-images.farfetch-contents.com/15/68/93/85/15689385_29072614_300.jpg,https://www.farfetch.com/de/shopping/men/balenciaga-track2-open-sneakers-item-15367962.aspx
Dsquared2 Cowboystiefel mit Blockabsatz,Dsquared2,900,https://cdn-images.farfetch-contents.com/15/96/41/79/15964179_29695366_300.jpg,https://www.farfetch.com/de/shopping/men/dsquared2-cowboystiefel-mit-blockabsatz-item-15405935.aspx
R.M.Williams 'Comfort Craftsman' Chelsea-Boots,R.M.Williams,450,https://cdn-images.farfetch-contents.com/15/96/41/79/15964179_29695364_300.jpg,https://www.farfetch.com/de/shopping/men/rmwilliams-comfort-craftsman-chelsea-boots-item-14947371.aspx
AMIRI buckle ankle boots,AMIRI,1180,https://cdn-images.farfetch-contents.com/15/95/97/82/15959782_29664662_300.jpg,https://www.farfetch.com/de/shopping/men/amiri-buckle-ankle-boots-item-15822774.aspx
Alexander McQueen 'Tread' Chelsea-Boots,Alexander McQueen,690,https://cdn-images.farfetch-contents.com/15/95/97/82/15959782_29664664_300.jpg,https://www.farfetch.com/de/shopping/men/alexander-mcqueen-tread-chelsea-boots-item-15779855.aspx
Philipp Plein 'Phantom' Sneakers,Philipp Plein,1875,https://cdn-images.farfetch-contents.com/15/81/41/62/15814162_29561747_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-phantom-sneakers-item-15389069.aspx
Off-White 'OOO Out of Office' Sneakers,Off-White,390,https://cdn-images.farfetch-contents.com/15/81/41/62/15814162_29563101_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280755.aspx
Maison Margiela 'Basketball' High-Top-Sneakers,Maison Margiela,790,https://cdn-images.farfetch-contents.com/15/88/07/00/15880700_29338758_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-basketball-high-top-sneakers-item-15487934.aspx
Bottega Veneta 'BV Level' Loafer,Bottega Veneta,650,https://cdn-images.farfetch-contents.com/15/88/07/00/15880700_29338763_300.jpg,https://www.farfetch.com/de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx
Edhen Milano 'Comporta' Loafer mit Haken,Edhen Milano,720,https://cdn-images.farfetch-contents.com/15/52/45/03/15524503_29234897_300.jpg,https://www.farfetch.com/de/shopping/men/edhen-milano-comporta-loafer-mit-haken-item-15588863.aspx
Maison Margiela Loafer mit Tabi-Kappe,Maison Margiela,664,https://cdn-images.farfetch-contents.com/15/52/45/03/15524503_29234898_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-loafer-mit-tabi-kappe-item-15819261.aspx
Magnanni Loafer mit Quasten,Magnanni,465,https://cdn-images.farfetch-contents.com/15/75/03/59/15750359_29224218_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-loafer-mit-quasten-item-15589402.aspx
Jordan 'Air Jordan 1 High OG Bio Hack' Sneakers,Jordan,406,https://cdn-images.farfetch-contents.com/15/75/03/59/15750359_29225303_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-high-og-bio-hack-sneakers-item-15817659.aspx
Nike 'Air Force 1 GORE-TEX' Sneakers,Nike,253,https://cdn-images.farfetch-contents.com/15/92/85/78/15928578_29563107_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-force-1-gore-tex-sneakers-item-15820382.aspx
Off-White 'OOO Out of Office' Sneakers,Off-White,390,https://cdn-images.farfetch-contents.com/15/92/85/78/15928578_29561767_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280758.aspx
Gucci 'Rython' Sneakers ,Gucci,790,https://cdn-images.farfetch-contents.com/15/68/91/75/15689175_29096768_300.jpg,https://www.farfetch.com/de/shopping/men/gucci-rython-sneakers-item-15848425.aspx
Jordan 'Air Jordan 1 Mid' Sneakers,Jordan,253,https://cdn-images.farfetch-contents.com/15/68/91/75/15689175_29098127_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-mid-sneakers-item-15848431.aspx
adidas YEEZY 'Yeezy Boost 350 V2' Sneakers,adidas YEEZY,625,https://cdn-images.farfetch-contents.com/14/24/74/83/14247483_20174107_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-yeezy-boost-350-v2-sneakers-item-15477806.aspx
Alexander McQueen 'Oversized' Sneakers,Alexander McQueen,450,https://cdn-images.farfetch-contents.com/14/24/74/83/14247483_20174116_300.jpg,https://www.farfetch.com/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15632365.aspx
Marcelo Burlon County of Milan 'C-Run 3000' Sneakers,Marcelo Burlon County of Milan,335,https://cdn-images.farfetch-contents.com/15/90/67/69/15906769_29498292_300.jpg,https://www.farfetch.com/de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15615058.aspx
Neil Barrett metal appliqué Oxford shoes,Neil Barrett,394,https://cdn-images.farfetch-contents.com/15/90/67/69/15906769_29498290_300.jpg,https://www.farfetch.com/de/shopping/men/neil-barrett-metal-applique-oxford-shoes-item-15837269.aspx
Magnanni Oxford-Schuhe mit Kroko-Effekt,Magnanni,490,https://cdn-images.farfetch-contents.com/15/94/00/80/15940080_29575230_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-oxford-schuhe-mit-kroko-effekt-item-15588871.aspx
Philipp Plein 'Original' Loafer,Philipp Plein,650,https://cdn-images.farfetch-contents.com/15/94/00/80/15940080_29576289_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-original-loafer-item-14027405.aspx
Henderson Baracco lace-up shoes,Henderson Baracco,390,https://cdn-images.farfetch-contents.com/15/80/43/68/15804368_29840978_300.jpg,https://www.farfetch.com/de/shopping/men/henderson-baracco-lace-up-shoes-item-15842095.aspx
Maison Margiela High-Top-Sneakers mit Einsätzen,Maison Margiela,730,https://cdn-images.farfetch-contents.com/15/80/43/68/15804368_29840979_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-high-top-sneakers-mit-einsatzen-item-15788012.aspx
adidas YEEZY 'Yeezy Boost 700 MNVN' Sneakers,adidas YEEZY,806,https://cdn-images.farfetch-contents.com/15/91/17/10/15911710_29438625_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-yeezy-boost-700-mnvn-sneakers-item-15464458.aspx
Jordan 'Air Jordan 1 Mid Oakland' Sneakers,Jordan,253,https://cdn-images.farfetch-contents.com/15/91/17/10/15911710_29438626_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-mid-oakland-sneakers-item-15840639.aspx
AMI High-Top-Sneakers mit Lederbesatz,AMI,270,https://cdn-images.farfetch-contents.com/15/54/40/63/15544063_28922240_300.jpg,https://www.farfetch.com/de/shopping/men/ami-high-top-sneakers-mit-lederbesatz-item-15134094.aspx
Magnanni Loafer mit Quasten,Magnanni,466,https://cdn-images.farfetch-contents.com/15/54/40/63/15544063_28919150_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-loafer-mit-quasten-item-15587304.aspx
Malone Souliers 'Bruno' Loafer mit runder Kappe,Malone Souliers,443,https://cdn-images.farfetch-contents.com/15/54/39/53/15543953_27895847_300.jpg,https://www.farfetch.com/de/shopping/men/malone-souliers-bruno-loafer-mit-runder-kappe-item-15829817.aspx
Nike 'Air Force 1' Sneakers,Nike,390,https://cdn-images.farfetch-contents.com/11/17/77/94/11177794_5652440_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-force-1-sneakers-item-11177794.aspx
adidas 'Tubular' Sneakers,adidas,90,https://cdn-images.farfetch-contents.com/11/17/77/94/11177794_5652441_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-tubular-sneakers-item-11174082.aspx
adidas by Raf Simons 'Stan Smith' Sneakers,adidas by Raf Simons,484,https://cdn-images.farfetch-contents.com/11/17/40/82/11174082_5694132_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-by-raf-simons-stan-smith-sneakers-item-11170692.aspx
Dr. Martens 'Dante' Schnürschuhe,Dr. Martens,157,https://cdn-images.farfetch-contents.com/11/17/40/82/11174082_5694141_300.jpg,https://www.farfetch.com/de/shopping/men/dr-martens-dante-schnurschuhe-item-11157790.aspx
Nike 'Air Force 1 Low' Sneakers,Nike,406,https://cdn-images.farfetch-contents.com/11/17/06/92/11170692_23445822_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-force-1-low-sneakers-item-11152915.aspx
Valentino Garavani 'Open' Sneakers,Valentino Garavani,470,https://cdn-images.farfetch-contents.com/11/17/06/92/11170692_23445823_300.jpg,https://www.farfetch.com/de/shopping/men/valentino-garavani-open-sneakers-item-11130995.aspx
Nike 'Air Huarache' Sneakers,Nike,143,https://cdn-images.farfetch-contents.com/11/15/77/90/11157790_5533176_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-huarache-sneakers-item-11118124.aspx
Vans Vault by Vans x Takashi Murakami Slip-On-Sneakers,Vans,564,https://cdn-images.farfetch-contents.com/11/15/77/90/11157790_5533184_300.jpg,https://www.farfetch.com/de/shopping/men/vans-vault-by-vans-x-takashi-murakami-slip-on-sneakers-item-11117932.aspx
Nike 'SocFly' Sneakers,Nike,305,https://cdn-images.farfetch-contents.com/11/15/29/15/11152915_5667675_300.jpg,https://www.farfetch.com/de/shopping/men/nike-socfly-sneakers-item-11105246.aspx
Nike 'SocFly Independence Day' Sneakers,Nike,344,https://cdn-images.farfetch-contents.com/11/15/29/15/11152915_5667676_300.jpg,https://www.farfetch.com/de/shopping/men/nike-socfly-independence-day-sneakers-item-11105245.aspx
Henderson Baracco Loafer mit Quasten,Henderson Baracco,390,https://cdn-images.farfetch-contents.com/11/13/09/95/11130995_5409837_300.jpg,https://www.farfetch.com/de/shopping/men/henderson-baracco-loafer-mit-quasten-item-11102168.aspx
adidas by Raf Simons 'Stan Smith' Sneakers,adidas by Raf Simons,642,https://cdn-images.farfetch-contents.com/11/13/09/95/11130995_5409838_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-by-raf-simons-stan-smith-sneakers-item-11098336.aspx
Nike 'Huarache NM' Sneakers,Nike,384,https://cdn-images.farfetch-contents.com/11/11/81/24/11118124_5365347_300.jpg,https://www.farfetch.com/de/shopping/men/nike-huarache-nm-sneakers-item-11092007.aspx
Nike 'Roshe 1' Sneakers,Nike,109,https://cdn-images.farfetch-contents.com/11/11/81/24/11118124_5365354_300.jpg,https://www.farfetch.com/de/shopping/men/nike-roshe-1-sneakers-item-11085746.aspx
Diesel High-Top-Sneakers mit Reißverschluss,Diesel,240,https://cdn-images.farfetch-contents.com/11/11/79/32/11117932_23445813_300.jpg,https://www.farfetch.com/de/shopping/men/diesel-high-top-sneakers-mit-reiverschluss-item-11079481.aspx
